Sample ID,Percent C,d13C,Percent N,d15N,C:N,Percent N (N),flags
WS23-139-01MC-3 0-2.5cm,,,,3.9,,0.04,
WS23-139-01MC-3 10-12.5cm,,,,4.38,,0.04,
WS23-139-01MC-3 12.5-15cm,,,,4.46,,0.03,
WS23-139-01MC-3 15-17.5cm,,,,3.87,,0.03,
WS23-139-01MC-3 17.5-20cm,,,,4.38,,0.03,
WS23-139-01MC-3 2.5-5cm,,,,4.19,,0.02,
WS23-139-01MC-3 20-22.5cm,,,,4.62,,0.03,
WS23-139-01MC-3 22.5-25cm,,,,3.69,,0.03,
WS23-139-01MC-3 25-27.5cm,,,,4.01,,0.04,
WS23-139-01MC-3 27.5-30cm,,,,3.68,,0.03,
WS23-139-01MC-3 5-7.5cm,,,,3.65,,0.04,
WS23-139-01MC-3 7.5-10cm,,,,4.5,,0.07,
WS23-139-10MC-3 0-2.5cm,,,,4.69,,0.11,
WS23-139-10MC-3 12.5-15cm,0.73,-25.88,0.11,4.44,6.57,0.11,
WS23-139-10MC-3 15-17.5cm,0.74,-25.93,0.11,4.68,6.66,0.11,
WS23-139-10MC-3 17.5-20cm,,,,5.64,,0.11,
WS23-139-10MC-3 2.5-5cm,,,,4.92,,0.11,
WS23-139-10MC-3 20-22.5cm,,,,4.54,,0.11,
WS23-139-10MC-3 22.5-25cm,,,,4.66,,0.11,
WS23-139-10MC-3 25-27.5cm,,,,4.58,,0.11,
WS23-139-10MC-3 27.5-30cm,0.74,-25.94,0.11,4.54,6.62,0.11,
WS23-139-10MC-3 30-32.5cm,0.74,-25.99,0.11,4.78,6.59,0.11,
WS23-139-10MC-3 32.5-35cm,,,,4.54,,0.11,
WS23-139-10MC-3 35-37.5cm,0.76,-26.05,0.11,4.74,6.81,0.11,
WS23-139-10MC-3 37.5-40cm,,,,5.26,,0.11,
WS23-139-10MC-3 40-42.5cm,0.75,-26,0.11,4.69,6.74,0.11,
WS23-139-10MC-3 42.5-45cm,0.74,-26.01,0.11,4.42,6.72,0.11,
WS23-139-10MC-3 45-47.5cm,0.74,-25.92,0.11,4.58,6.74,0.11,
WS23-139-10MC-3 47.5-50cm,,,,4.79,,0.10,
WS23-139-10MC-3 7.5-10cm,,,,4.59,,0.11,
WS23-139-11MC-3 0-2.5cm,,,,4.92,,0.13,
WS23-139-11MC-3 10-12.5cm,0.8,-23.3,0.13,5.16,6.00,0.12,
WS23-139-11MC-3 12.5-15cm,0.79,-23.23,0.13,4.99,6.00,0.13,
WS23-139-11MC-3 15-17.5cm,0.77,-23.3,0.13,5.07,5.93,0.13,
WS23-139-11MC-3 17.5-20cm,0.74,-23.45,0.13,4.94,5.86,0.12,
WS23-139-11MC-3 2.5-5.0cm,0.77,-23.77,0.13,4.96,6.15,0.13,
WS23-139-11MC-3 20-22.5cm,0.75,-23.85,0.12,5.02,6.11,0.12,
WS23-139-11MC-3 22.5-25cm,0.74,-23.74,0.12,5.06,6.05,0.11,
WS23-139-11MC-3 25-27.5cm,0.71,-23.84,0.12,4.98,6.10,0.12,
WS23-139-11MC-3 27.5-30cm,0.72,-24.13,0.12,5.04,6.26,0.12,
WS23-139-11MC-3 30-32.5cm,,,,4.95,,0.11,
WS23-139-11MC-3 32.5-35cm,,,,5.06,,0.12,
WS23-139-11MC-3 35-37.5cm,,,,5.14,,0.11,
WS23-139-11MC-3 37.5-40cm,,,,5.03,,0.12,
WS23-139-11MC-3 5.0-7.5cm,,,,5.17,,0.13,
WS23-139-11MC-3 5-7.5cm,0.81,-23.3,0.13,4.73,6.02,0.11,
WS23-139-11MC-3 7.5-10cm,,,,5.3,,0.12,
WS23-139-16MC-3 10-12.5cm,,,,5.25,,0.10,
WS23-139-16MC-3 12.5-15cm,,,,5.16,,0.10,
WS23-139-16MC-3 15-17.5cm,,,,5.4,,0.10,
WS23-139-16MC-3 17.5-20cm,,,,5.39,,0.10,
WS23-139-16MC-3 20-22.5cm,,,,5.44,,0.10,
WS23-139-16MC-3 22.5-25cm,,,,5.45,,0.10,
WS23-139-16MC-3 25-27.5cm,,,,5.76,,0.10,
